Frequency of eating at a restaurant on campus in a week,Most frequently visited canteen(s) or eateries
6-11,SU
6-11,Maxim
6-11,Maxim
6-11,"Maxim, Starbucks, USweet/Udeli, BIJAS"
6-11,SU
6-11,"Maxim, Cafe330, Swire, Subway, iBakery, Starbucks"
3-5,"Maxim, SU, BIJAS"
6-11,"Maxim, iBakery, SU"
6-11,Swire
0-2,"Maxim, USweet/Udeli, BIJAS"
6-11,"Maxim, Swire"
3-5,"Subway, USweet/Udeli, BIJAS"
12-more,"Maxim, Swire, Starbucks"
3-5,"Maxim, Starbucks, USweet/Udeli, BIJAS"
0-2,Maxim
0-2,Maxim
3-5,"Maxim, Swire, Subway, Starbucks, USweet/Udeli, BIJAS"
6-11,"Maxim, Cafe330, Starbucks"
12-more,iBakery
6-11,Maxim
3-5,USweet/Udeli
12-more,Maxim
3-5,"Maxim, Swire, SU, USweet/Udeli"
0-2,Maxim
6-11,"Maxim, SU, USweet/Udeli"
6-11,"Maxim, Swire, Starbucks, Delifrance"
3-5,"Maxim, iBakery, Starbucks, BIJAS"
3-5,"Starbucks, Delifrance"
6-11,Maxim
0-2,"Maxim, Starbucks, Delifrance"
6-11,"Maxim, Starbucks"
0-2,SU
6-11,"Maxim, Swire, Subway"
12-more,Swire
3-5,"Maxim, Swire, Starbucks, USweet/Udeli"
6-11,"Maxim, Swire, Starbucks"
3-5,"Maxim, SU, USweet/Udeli"
0-2,"Maxim, USweet/Udeli"
3-5,"Maxim, BIJAS"
12-more,Maxim
0-2,Swire
6-11,"Maxim, Swire, Starbucks"
3-5,"Cafe330, Starbucks, BIJAS"
6-11,"Maxim, Swire, India"
12-more,"Swire, Starbucks"
6-11,Maxim
12-more,"Maxim, Swire"
12-more,"Maxim, Cafe330, Starbucks"
0-2,"Cafe330, BIJAS"
6-11,"Maxim, Swire, Starbucks, USweet/Udeli, BIJAS"
6-11,Swire
0-2,USweet/Udeli
3-5,Swire
