id,Gender,Year,Frequency,Most frequently visited canteen(s) or eateries,Maxim,SU,BIJAS,Delifrance,Swire
1,Female,Junior,6-11,Union Restaurant (EAT),HKD30-40,HKD30-40,HKD20-30,HKD30-40,HKD30-40
2,Female,Junior,6-11,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD30-40,HKD30-40,HKD30-40,HKD30-40
3,Male,Freshman,6-11,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD20-30,HKD30-40,HKD20-30,HKD20-30,HKD20-30
4,Female,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Starbucks Coffee, HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD30-40
5,Female,Sophomore,6-11,Union Restaurant (EAT),HKD20-30,HKD30-40,HKD50-60,HKD30-40,HKD20-30
6,Female,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Chong Yuet Ming Amenities Centre Cafeteria - Cafe 330 (New Life Support Enterprises Ltd.), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Outpost II (SUBWAY), Outpost III (Tung Wah Group Hospital (TWGHs) iBakery), Starbucks Coffee",HKD30-40,HKD20-30,HKD50-60,HKD40-50,HKD40-50
7,Female,Senior,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Union Restaurant (EAT), BIJAS Vegetarian (一念素食)",HKD40-50,HKD40-50,HKD50-60,HKD40-50,HKD40-50
8,Male,Senior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Outpost III (Tung Wah Group Hospital (TWGHs) iBakery), Union Restaurant (EAT)",HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD30-40
9,Male,Sophomore,6-11,Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.),HKD30-40,HKD20-30,HKD30-40,HKD30-40,HKD30-40
10,Female,Junior,≤2,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD30-40,HKD30-40,HKD40-50,HKD20-30,HKD20-30
11,Male,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.)",HKD30-40,HKD30-40,HKD30-40,HKD30-40,HKD30-40
12,Female,Junior,3-5,"Outpost II (SUBWAY), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD50-60,HKD50-60,HKD60-70,HKD60-70,HKD50-60
13,Female,Junior,≥ 12,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee",HKD30-40,HKD30-40,HKD40-50,HKD30-40,HKD30-40
14,Female,Sophomore,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Starbucks Coffee, HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD30-40,HKD30-40,HKD50-60,HKD40-50,HKD30-40
15,Female,Senior,≤2,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD40-50,HKD30-40,HKD60-70,HKD50-60,HKD40-50
16,Female,Sophomore,≤2,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD20-30,HKD20-30,HKD20-30,HKD20-30
17,Female,Junior,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Outpost II (SUBWAY), Starbucks Coffee, HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD40-50,HKD30-40,HKD40-50,HKD40-50,HKD40-50
18,Female,Senior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Chong Yuet Ming Amenities Centre Cafeteria - Cafe 330 (New Life Support Enterprises Ltd.), Starbucks Coffee",HKD30-40,HKD30-40,HKD50-60,HKD40-50,HKD30-40
19,Male,Sophomore,≥ 12,Outpost III (Tung Wah Group Hospital (TWGHs) iBakery),HKD40-50,HKD40-50,HKD50-60,HKD40-50,HKD40-50
20,Prefer not to say,Junior,6-11,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD20-30,HKD20-30,HKD40-50,HKD30-40,HKD20-30
21,Female,Senior,3-5,HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇),HKD30-40,HKD30-40,HKD30-40,HKD20-30,HKD30-40
22,Male,Sophomore,≥ 12,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD20-30,HKD30-40,HKD30-40,HKD30-40
23,Female,Senior,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Union Restaurant (EAT), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇)",HKD30-40,HKD30-40,HKD30-40,HKD30-40,HKD30-40
24,Female,Junior,≤2,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD40-50,HKD60-70,HKD20-30,HKD20-30
25,Female,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Union Restaurant (EAT), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇)",HKD30-40,HKD20-30,HKD50-60,HKD40-50,HKD20-30
